,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label,Community
18,762998343093703369070788183700410535435554298835,6,3,3,0.04558204768583451,1.0830698091364064,sepal width (cm) > 2.75,0
19,82584456215784096917479460091690249413155435778,6,3,3,0.011220196353436185,0.021489609939141677,sepal width (cm) <= 2.75,1
20,1362454090448251504032490258111126441035086111292,2,1,1,0.0,0.002743354460315959,sepal length (cm) > 6.4,1
21,740584513097635627496505845276455004897611201181,12,4,8,0.1051309022907901,0.47149880700869257,petal width (cm) <= 1.75,1
22,847477981883658386414460204121394770448663895439,11,2,9,0.02062879850397382,0.8528588246070037,petal width (cm) > 0.8,1
23,947984079661264961342870691539136022574948430341,11,9,2,0.009350163627863489,0.12931868108767172,petal width (cm) > 1.75,0
24,960298362458560681361409961977819886580957017182,3,2,1,0.0,0.07086999022482893,petal width (cm) <= 0.8,2
25,1174248751910480483203152223256528907986619606954,2,1,1,0.0001168770453482936,0.005486708920631918,petal length (cm) <= 4.7,1
26,1175212979393470347899367652179608211700749096715,3,1,2,0.0,0.5918016133286684,petal length (cm) <= 5.2,1
27,1420176613639971807196484611010082555719409331752,8,4,4,0.048445535296867695,0.6500971698552344,petal length (cm) > 4.85,0
28,573585474223013620077006769186407898848307322087,6,4,2,0.0043244506778868635,0.04526534859521332,petal length (cm) <= 4.85,1
29,1190462699715374363666649605912414705248243757200,2,1,1,0.0001168770453482936,0.011430643584649828,petal length (cm) <= 3.3,2
30,1147257542945440298109815666246017244067397811172,8,8,0,0.0,0.0,Class 0,2
31,1190792767557429891851110576830295427781091460029,3,1,2,0.009350163627863489,0.022251652844785,sepal width (cm) <= 2.9,0
32,181898515773568319354498535982620487891499359429,2,1,1,0.003973819541841983,0.016917352505281744,petal width (cm) <= 1.7,1
33,1205545941395374886899704853572655742002134592073,11,4,7,0.06550958391771856,1.2179579352316086,petal length (cm) > 2.45,1
34,402925199304658081642569497315360581346067132387,4,3,1,0.0,0.030176899063475548,petal length (cm) <= 4.45,1
35,468202129981743041095733489948134238689502359008,5,2,3,0.016713417484805985,0.9663023375822544,petal width (cm) <= 1.6,1
